Instance,Algorithm,Gene,Sign,BN_size,score
A1_Bladder,BoNesis[FP],CDC25A,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b1,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b1,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinA,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinA,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinD1,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinD1,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinE1,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinE1,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],DNAdamage,0,35,0.04500891265597148
A1_Bladder,BoNesis[FP],DNAdamage,1,35,0.07352941176470588
A1_Bladder,BoNesis[FP],E2F1_b1,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F1_b1,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F1_b2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F1_b2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F3_b1,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F3_b1,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F3_b2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],E2F3_b2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],EGFR,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],EGFR,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],EGFR_stimulus,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],EGFR_stimulus,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],FGFR3,0,35,1.0
A1_Bladder,BoNesis[FP],FGFR3,1,35,0.030748663101604276
A1_Bladder,BoNesis[FP],FGFR3_stimulus,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],FGFR3_stimulus,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],GRB2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],GRB2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],GrowthInhibitors,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],GrowthInhibitors,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],Growth_Arrest,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],Growth_Arrest,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],MDM2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],MDM2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],PI3K,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],PI3K,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],PTEN,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],PTEN,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],Proliferation,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],Proliferation,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],RAS,0,35,1.0
A1_Bladder,BoNesis[FP],RAS,1,35,0.030748663101604276
A1_Bladder,BoNesis[FP],RB1,0,35,0.044563279857397504
A1_Bladder,BoNesis[FP],RB1,1,35,0.10294117647058823
A1_Bladder,BoNesis[FP],RBL2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],RBL2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],SPRY,0,35,1.0
A1_Bladder,BoNesis[FP],SPRY,1,35,0.030748663101604276
A1_Bladder,BoNesis[FP],TP53,0,35,0.04523172905525847
A1_Bladder,BoNesis[FP],TP53,1,35,0.05926916221033868
A1_Bladder,BoNesis[FP],p14ARF,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],p14ARF,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],p16INK4a,0,35,0.07397504456327986
A1_Bladder,BoNesis[FP],p16INK4a,1,35,0.04500891265597148
A1_Bladder,BoNesis[FP],p21CIP,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],p21CIP,1,35,0.045454545454545456
A1_Bladder,BoNesis[MTS],AKT,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],AKT,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],ATM_b1,0,35,0.0008912655971479501
A1_Bladder,BoNesis[MTS],ATM_b1,1,35,0.029411764705882353
A1_Bladder,BoNesis[MTS],ATM_b2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],ATM_b2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],Apoptosis_b1,0,35,0.0011140819964349377
A1_Bladder,BoNesis[MTS],Apoptosis_b1,1,35,0.015151515151515152
A1_Bladder,BoNesis[MTS],Apoptosis_b2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],Apoptosis_b2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CDC25A,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CDC25A,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CHEK1_2_b1,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CHEK1_2_b1,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CHEK1_2_b2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CHEK1_2_b2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CyclinA,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CyclinA,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CyclinD1,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CyclinD1,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CyclinE1,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],CyclinE1,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],DNAdamage,0,35,0.0008912655971479501
A1_Bladder,BoNesis[MTS],DNAdamage,1,35,0.029411764705882353
A1_Bladder,BoNesis[MTS],E2F1_b1,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F1_b1,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F1_b2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F1_b2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F3_b1,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F3_b1,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F3_b2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],E2F3_b2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],EGFR,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],EGFR,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],EGFR_stimulus,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],EGFR_stimulus,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],FGFR3,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],FGFR3,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],FGFR3_stimulus,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],FGFR3_stimulus,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],GRB2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],GRB2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],GrowthInhibitors,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],GrowthInhibitors,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],Growth_Arrest,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],Growth_Arrest,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],MDM2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],MDM2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],PI3K,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],PI3K,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],PTEN,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],PTEN,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],Proliferation,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],Proliferation,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],RAS,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],RAS,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],RB1,0,35,0.00044563279857397507
A1_Bladder,BoNesis[MTS],RB1,1,35,0.058823529411764705
A1_Bladder,BoNesis[MTS],RBL2,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],RBL2,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],SPRY,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],SPRY,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],TP53,0,35,0.0011140819964349377
A1_Bladder,BoNesis[MTS],TP53,1,35,0.015151515151515152
A1_Bladder,BoNesis[MTS],p14ARF,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],p14ARF,1,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],p16INK4a,0,35,0.029857397504456328
A1_Bladder,BoNesis[MTS],p16INK4a,1,35,0.0008912655971479501
A1_Bladder,BoNesis[MTS],p21CIP,0,35,0.0013368983957219253
A1_Bladder,BoNesis[MTS],p21CIP,1,35,0.0013368983957219253
A1_Bladder,CABEAN[ITC],AKT,0,35,0.0
A1_Bladder,CABEAN[ITC],AKT,1,35,0.0
A1_Bladder,CABEAN[ITC],ATM_b1,0,35,0.0
A1_Bladder,CABEAN[ITC],ATM_b1,1,35,0.0
A1_Bladder,CABEAN[ITC],ATM_b2,0,35,0.0
A1_Bladder,CABEAN[ITC],ATM_b2,1,35,0.0
A1_Bladder,CABEAN[ITC],Apoptosis_b1,0,35,0.0
A1_Bladder,CABEAN[ITC],Apoptosis_b1,1,35,0.0
A1_Bladder,CABEAN[ITC],Apoptosis_b2,0,35,0.0
A1_Bladder,CABEAN[ITC],Apoptosis_b2,1,35,0.0
A1_Bladder,CABEAN[ITC],CDC25A,0,35,0.0
A1_Bladder,CABEAN[ITC],CDC25A,1,35,0.0
A1_Bladder,CABEAN[ITC],CHEK1_2_b1,0,35,0.0
A1_Bladder,CABEAN[ITC],CHEK1_2_b1,1,35,0.0
A1_Bladder,CABEAN[ITC],CHEK1_2_b2,0,35,0.0
A1_Bladder,CABEAN[ITC],CHEK1_2_b2,1,35,0.0
A1_Bladder,CABEAN[ITC],CyclinA,0,35,0.0
A1_Bladder,CABEAN[ITC],CyclinA,1,35,0.0
A1_Bladder,CABEAN[ITC],CyclinD1,0,35,0.0
A1_Bladder,CABEAN[ITC],CyclinD1,1,35,0.0
A1_Bladder,CABEAN[ITC],CyclinE1,0,35,0.0
A1_Bladder,CABEAN[ITC],CyclinE1,1,35,0.0
A1_Bladder,CABEAN[ITC],DNAdamage,0,35,0.0
A1_Bladder,CABEAN[ITC],DNAdamage,1,35,0.0
A1_Bladder,CABEAN[ITC],E2F1_b1,0,35,0.0
A1_Bladder,CABEAN[ITC],E2F1_b1,1,35,0.0
A1_Bladder,CABEAN[ITC],E2F1_b2,0,35,0.0
A1_Bladder,CABEAN[ITC],E2F1_b2,1,35,0.0
A1_Bladder,CABEAN[ITC],E2F3_b1,0,35,0.0
A1_Bladder,CABEAN[ITC],E2F3_b1,1,35,0.0
A1_Bladder,CABEAN[ITC],E2F3_b2,0,35,0.0
A1_Bladder,CABEAN[ITC],E2F3_b2,1,35,0.0
A1_Bladder,CABEAN[ITC],EGFR,0,35,0.0
A1_Bladder,CABEAN[ITC],EGFR,1,35,0.0
A1_Bladder,CABEAN[ITC],EGFR_stimulus,0,35,0.0
A1_Bladder,CABEAN[ITC],EGFR_stimulus,1,35,0.0
A1_Bladder,CABEAN[ITC],FGFR3,0,35,0.0
A1_Bladder,CABEAN[ITC],FGFR3,1,35,0.0
A1_Bladder,CABEAN[ITC],FGFR3_stimulus,0,35,0.0
A1_Bladder,CABEAN[ITC],FGFR3_stimulus,1,35,0.0
A1_Bladder,CABEAN[ITC],GRB2,0,35,0.0
A1_Bladder,CABEAN[ITC],GRB2,1,35,0.0
A1_Bladder,CABEAN[ITC],GrowthInhibitors,0,35,0.0
A1_Bladder,CABEAN[ITC],GrowthInhibitors,1,35,0.0
A1_Bladder,CABEAN[ITC],Growth_Arrest,0,35,0.0
A1_Bladder,CABEAN[ITC],Growth_Arrest,1,35,0.0
A1_Bladder,CABEAN[ITC],MDM2,0,35,0.0
A1_Bladder,CABEAN[ITC],MDM2,1,35,0.0
A1_Bladder,CABEAN[ITC],PI3K,0,35,0.0
A1_Bladder,CABEAN[ITC],PI3K,1,35,0.0
A1_Bladder,CABEAN[ITC],PTEN,0,35,0.0
A1_Bladder,CABEAN[ITC],PTEN,1,35,0.0
A1_Bladder,CABEAN[ITC],Proliferation,0,35,0.0
A1_Bladder,CABEAN[ITC],Proliferation,1,35,0.0
